,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,writh,signature,13-crossing knots,kfh
3535,13ah_3536,361,21.6804602756480,361,12,-1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 1, (-3, -3): 10, (-2, -2): 39, (-1, -1): 80, (0, 0): 101, (1, 1): 80, (2, 2): 39, (3, 3): 10, (4, 4): 1}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 361}"
3536,13ah_3537,349,21.6827195457579,349,16,3,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 3, (-3, -3): 16, (-2, -2): 42, (-1, -1): 71, (0, 0): 85, (1, 1): 71, (2, 2): 42, (3, 3): 16, (4, 4): 3}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 349}"
3537,13ah_3538,375,21.6828986825866,375,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 2, (-3, -4): 14, (-2, -3): 43, (-1, -2): 80, (0, -1): 97, (1, 0): 80, (2, 1): 43, (3, 2): 14, (4, 3): 2}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 375}"
3538,13ah_3539,331,21.6862427318742,331,28,9,-6,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 3, 'ranks': {(-4, -7): 3, (-3, -6): 17, (-2, -5): 41, (-1, -4): 66, (0, -3): 77, (1, -2): 66, (2, -1): 41, (3, 0): 17, (4, 1): 3}, 'seifert_genus': 4, 'tau': 3, 'total_rank': 331}"
3539,13ah_3540,371,21.6879934001068,371,8,-3,2,Alternating,"{'L_space_knot': False, 'epsilon': -1, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -3): 2, (-3, -2): 14, (-2, -1): 43, (-1, 0): 79, (0, 1): 95, (1, 2): 79, (2, 3): 43, (3, 4): 14, (4, 5): 2}, 'seifert_genus': 4, 'tau': -1, 'total_rank': 371}"
3540,13ah_3541,367,21.6910350681589,367,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 2, (-3, -4): 13, (-2, -3): 41, (-1, -2): 79, (0, -1): 97, (1, 0): 79, (2, 1): 41, (3, 2): 13, (4, 3): 2}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 367}"
3541,13ah_3542,367,21.6910350681589,367,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 2, (-3, -4): 13, (-2, -3): 41, (-1, -2): 79, (0, -1): 97, (1, 0): 79, (2, 1): 41, (3, 2): 13, (4, 3): 2}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 367}"
3542,13ah_3543,341,21.6915192329975,341,14,1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 13, (-2, -2): 39, (-1, -1): 72, (0, 0): 89, (1, 1): 72, (2, 2): 39, (3, 3): 13, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 341}"
3543,13ah_3544,371,21.6921108214353,371,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 1, (-3, -4): 10, (-2, -3): 39, (-1, -2): 83, (0, -1): 105, (1, 0): 83, (2, 1): 39, (3, 2): 10, (4, 3): 1}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 371}"
3544,13ah_3545,367,21.6921175788110,367,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 2, (-3, -4): 14, (-2, -3): 43, (-1, -2): 78, (0, -1): 93, (1, 0): 78, (2, 1): 43, (3, 2): 14, (4, 3): 2}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 367}"
3545,13ah_3546,343,21.6945626217081,343,22,7,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 6, (-2, -3): 33, (-1, -2): 80, (0, -1): 105, (1, 0): 80, (2, 1): 33, (3, 2): 6}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 343}"
3546,13ah_3547,351,21.6948477985382,351,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 5, (-2, -3): 33, (-1, -2): 83, (0, -1): 109, (1, 0): 83, (2, 1): 33, (3, 2): 5}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 351}"
3547,13ah_3548,353,21.6972731239993,353,14,1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 13, (-2, -2): 40, (-1, -1): 75, (0, 0): 93, (1, 1): 75, (2, 2): 40, (3, 3): 13, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 353}"
3548,13ah_3549,359,21.6981865961151,359,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 1, (-3, -4): 10, (-2, -3): 39, (-1, -2): 80, (0, -1): 99, (1, 0): 80, (2, 1): 39, (3, 2): 10, (4, 3): 1}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 359}"
3549,13ah_3550,381,21.6988037414974,381,16,3,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 13, (-2, -2): 42, (-1, -1): 82, (0, 0): 103, (1, 1): 82, (2, 2): 42, (3, 3): 13, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 381}"
3550,13ah_3551,335,21.7003591127239,335,28,9,-6,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 3, 'ranks': {(-4, -7): 3, (-3, -6): 18, (-2, -5): 43, (-1, -4): 66, (0, -3): 75, (1, -2): 66, (2, -1): 43, (3, 0): 18, (4, 1): 3}, 'seifert_genus': 4, 'tau': 3, 'total_rank': 335}"
3551,13ah_3552,379,21.7003657955087,379,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 3, (-3, -4): 16, (-2, -3): 44, (-1, -2): 79, (0, -1): 95, (1, 0): 79, (2, 1): 44, (3, 2): 16, (4, 3): 3}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 379}"
3552,13ah_3553,379,21.7003657955087,379,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 3, (-3, -4): 16, (-2, -3): 44, (-1, -2): 79, (0, -1): 95, (1, 0): 79, (2, 1): 44, (3, 2): 16, (4, 3): 3}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 379}"
3553,13ah_3554,341,21.7012174733823,341,14,1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 13, (-2, -2): 38, (-1, -1): 72, (0, 0): 91, (1, 1): 72, (2, 2): 38, (3, 3): 13, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 341}"
3554,13ah_3555,331,21.7019369467599,331,22,7,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 7, (-2, -3): 34, (-1, -2): 76, (0, -1): 97, (1, 0): 76, (2, 1): 34, (3, 2): 7}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 331}"
3555,13ah_3556,331,21.7046306014708,331,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-5, -6): 1, (-4, -5): 6, (-3, -4): 19, (-2, -3): 40, (-1, -2): 63, (0, -1): 73, (1, 0): 63, (2, 1): 40, (3, 2): 19, (4, 3): 6, (5, 4): 1}, 'seifert_genus': 5, 'tau': 1, 'total_rank': 331}"
3556,13ah_3557,367,21.7071275393250,367,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 5, (-2, -3): 33, (-1, -2): 87, (0, -1): 117, (1, 0): 87, (2, 1): 33, (3, 2): 5}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 367}"
3557,13ah_3558,341,21.7084934759721,341,14,1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 3, (-2, -2): 26, (-1, -1): 82, (0, 0): 119, (1, 1): 82, (2, 2): 26, (3, 3): 3}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 341}"
3558,13ah_3559,359,21.7089744972177,359,8,-3,2,Alternating,"{'L_space_knot': False, 'epsilon': -1, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -3): 2, (-3, -2): 13, (-2, -1): 41, (-1, 0): 77, (0, 1): 93, (1, 2): 77, (2, 3): 41, (3, 4): 13, (4, 5): 2}, 'seifert_genus': 4, 'tau': -1, 'total_rank': 359}"
3559,13ah_3560,377,21.7105843027912,377,12,-1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 13, (-2, -2): 42, (-1, -1): 81, (0, 0): 101, (1, 1): 81, (2, 2): 42, (3, 3): 13, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 377}"
3560,13ah_3561,349,21.7111600287054,349,14,1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 1, (-3, -3): 10, (-2, -2): 38, (-1, -1): 77, (0, 0): 97, (1, 1): 77, (2, 2): 38, (3, 3): 10, (4, 4): 1}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 349}"
3561,13ah_3562,383,21.7133250197468,383,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 2, (-3, -4): 14, (-2, -3): 44, (-1, -2): 82, (0, -1): 99, (1, 0): 82, (2, 1): 44, (3, 2): 14, (4, 3): 2}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 383}"
3562,13ah_3563,411,21.7154103261676,411,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 2, (-3, -4): 15, (-2, -3): 47, (-1, -2): 88, (0, -1): 107, (1, 0): 88, (2, 1): 47, (3, 2): 15, (4, 3): 2}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 411}"
3563,13ah_3564,363,21.7162215164698,363,8,-3,2,Alternating,"{'L_space_knot': False, 'epsilon': -1, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-5, -4): 1, (-4, -3): 6, (-3, -2): 20, (-2, -1): 44, (-1, 0): 70, (0, 1): 81, (1, 2): 70, (2, 3): 44, (3, 4): 20, (4, 5): 6, (5, 6): 1}, 'seifert_genus': 5, 'tau': -1, 'total_rank': 363}"
3564,13ah_3565,351,21.7165232311810,351,22,7,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 6, (-2, -3): 34, (-1, -2): 82, (0, -1): 107, (1, 0): 82, (2, 1): 34, (3, 2): 6}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 351}"
