,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,writh,signature,13-crossing knots,kfh
2398,13nh_2399,113,16.6740076175228,113,26,9,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 2, 'ranks': {(-3, -5): 1, (-2, -4): 11, (-1, -3): 27, (0, -2): 35, (1, -1): 27, (2, 0): 11, (3, 1): 1}, 'seifert_genus': 3, 'tau': 2, 'total_rank': 113}"
2399,13nh_2400,81,16.6754158021236,81,16,3,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 2, (-2, -2): 9, (-1, -1): 18, (0, 0): 23, (1, 1): 18, (2, 2): 9, (3, 3): 2}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 81}"
2400,13nh_2401,79,16.6758115111033,47,18,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -6): 1, (-4, -5): 1, (-3, -5): 3, (-3, -4): 4, (-2, -4): 3, (-2, -3): 8, (-1, -3): 1, (-1, -2): 12, (0, -1): 13, (1, -1): 1, (1, 0): 12, (2, 0): 3, (2, 1): 8, (3, 1): 3, (3, 2): 4, (4, 2): 1, (4, 3): 1}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 79}"
2401,13nh_2402,79,16.6758115111033,47,18,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 1, (-2, -4): 1, (-2, -3): 6, (-1, -3): 4, (-1, -2): 15, (0, -2): 6, (0, -1): 19, (1, -1): 4, (1, 0): 15, (2, 0): 1, (2, 1): 6, (3, 2): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 79}"
2402,13nh_2403,147,16.6806824571017,147,28,9,-6,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 3, 'ranks': {(-4, -7): 1, (-3, -6): 7, (-2, -5): 18, (-1, -4): 30, (0, -3): 35, (1, -2): 30, (2, -1): 18, (3, 0): 7, (4, 1): 1}, 'seifert_genus': 4, 'tau': 3, 'total_rank': 147}"
2403,13nh_2404,117,16.6839906020612,117,18,5,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 2, 'ranks': {(-4, -6): 1, (-3, -5): 6, (-2, -4): 15, (-1, -3): 23, (0, -2): 27, (1, -1): 23, (2, 0): 15, (3, 1): 6, (4, 2): 1}, 'seifert_genus': 4, 'tau': 2, 'total_rank': 117}"
2404,13nh_2405,111,16.6855497954693,111,22,7,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 2, (-2, -3): 10, (-1, -2): 26, (0, -1): 35, (1, 0): 26, (2, 1): 10, (3, 2): 2}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 111}"
2405,13nh_2406,85,16.6872909646796,53,22,9,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 2, 'ranks': {(-3, -5): 1, (-2, -4): 7, (-2, -3): 1, (-1, -3): 16, (-1, -2): 4, (0, -2): 21, (0, -1): 6, (1, -1): 16, (1, 0): 4, (2, 0): 7, (2, 1): 1, (3, 1): 1}, 'seifert_genus': 3, 'tau': 2, 'total_rank': 85}"
2406,13nh_2407,83,16.6883482775631,75,30,11,-6,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 4, 'ranks': {(-4, -8): 1, (-3, -7): 1, (-3, -6): 2, (-2, -5): 8, (-1, -4): 18, (0, -3): 23, (1, -2): 18, (2, -1): 8, (3, -1): 1, (3, 0): 2, (4, 0): 1}, 'seifert_genus': 4, 'tau': 4, 'total_rank': 83}"
2407,13nh_2408,77,16.6925836670526,77,16,3,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 2, (-2, -2): 9, (-1, -1): 17, (0, 0): 21, (1, 1): 17, (2, 2): 9, (3, 3): 2}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 77}"
2408,13nh_2409,133,16.6969458143536,133,12,3,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 8, (-2, -2): 16, (-1, -1): 25, (0, 0): 31, (1, 1): 25, (2, 2): 16, (3, 3): 8, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 133}"
2409,13nh_2410,89,16.6974566535933,89,16,3,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 2, (-2, -2): 9, (-1, -1): 20, (0, 0): 27, (1, 1): 20, (2, 2): 9, (3, 3): 2}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 89}"
2410,13nh_2411,93,16.6982151511667,61,12,-1,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 1, (-2, -3): 1, (-2, -2): 7, (-1, -2): 4, (-1, -1): 18, (0, -1): 6, (0, 0): 25, (1, 0): 4, (1, 1): 18, (2, 1): 1, (2, 2): 7, (3, 3): 1}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 93}"
2411,13nh_2412,93,16.6982151511667,61,12,1,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 2, (-3, -2): 1, (-2, -2): 9, (-2, -1): 3, (-1, -1): 17, (-1, 0): 3, (0, 0): 21, (0, 1): 2, (1, 1): 17, (1, 2): 3, (2, 2): 9, (2, 3): 3, (3, 3): 2, (3, 4): 1}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 93}"
2412,13nh_2413,97,16.6990432760995,97,18,7,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 2, 'ranks': {(-4, -6): 2, (-3, -5): 9, (-2, -4): 17, (-1, -3): 15, (0, -2): 11, (1, -1): 15, (2, 0): 17, (3, 1): 9, (4, 2): 2}, 'seifert_genus': 4, 'tau': 2, 'total_rank': 97}"
2413,13nh_2414,139,16.7028566049263,139,28,9,-6,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 3, 'ranks': {(-4, -7): 1, (-3, -6): 8, (-2, -5): 18, (-1, -4): 27, (0, -3): 31, (1, -2): 27, (2, -1): 18, (3, 0): 8, (4, 1): 1}, 'seifert_genus': 4, 'tau': 3, 'total_rank': 139}"
2414,13nh_2415,81,16.7058228324451,81,16,3,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 2, (-2, -2): 9, (-1, -1): 18, (0, 0): 23, (1, 1): 18, (2, 2): 9, (3, 3): 2}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 81}"
